p,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,model,dataset
0.01,1.0,0.0,0.0,0.3831568342305992,0.2814456616760909,0.18229217466631115,MEI,dmsc
0.01,0.9672657966123371,0.08217751672664343,0.045770142577306265,0.5464350914525399,0.24328899304923687,0.15323837449775998,VC,dmsc
0.01,0.3897145500360344,0.2756132012670309,0.16200515623912065,0.3445158408492771,0.2932924338479858,0.17110967997324852,CN,dmsc
0.01,0.4143612382764431,0.267422714045967,0.15715327474238097,0.34808093001948015,0.289475324268028,0.16755243193141572,LER,dmsc
0.01,0.3325986000525802,0.28589951894775445,0.17591004249493003,0.31491305311478,0.2992328017531701,0.18145126277592755,Additive,dmsc
0.01,0.6051487873971721,0.21946905869455455,0.14345285648644235,0.4814382022042382,0.2578429388144377,0.16904741604190604,Pairwise,dmsc
0.01,0.9999999999999998,0.0,0.0,0.3838770208115708,0.2805684744508548,0.18774985784529524,MEI,dmsc
0.01,0.9761473886095522,0.07622680303218585,0.04332460880349392,0.547450571047236,0.24139857116451346,0.1551458604829027,VC,dmsc
0.01,0.4065356876699245,0.2835066923681993,0.16747342073934507,0.3491143935840199,0.29079451718824645,0.1712405774211078,CN,dmsc
0.01,0.2822222027147827,0.30881361944387087,0.1874366235027557,0.24752071803427506,0.3116164051700728,0.18933381660148732,LER,dmsc
0.01,0.3462561872050301,0.2950349524274362,0.18477469348529646,0.3163058877310865,0.29735939524235383,0.18504747496256543,Additive,dmsc
0.01,0.6188290743954681,0.22480696622427682,0.147955319783502,0.49150784349835563,0.2551291753212259,0.1699212560740301,Pairwise,dmsc
0.01,1.0,0.0,0.0,0.3911126875789735,0.2793977083184948,0.18407864421867678,MEI,dmsc
0.01,0.9758548551668589,0.07758197213701687,0.04298955852847537,0.5458380736975608,0.2428498744680126,0.15495858329308843,VC,dmsc
0.01,0.46977079930057264,0.2700367528010417,0.16257613857288136,0.43308609238547485,0.2731618429660848,0.16571434270835925,CN,dmsc
0.01,0.35122756228421115,0.2934433857684304,0.1779656394860118,0.345538171811696,0.29136607095291644,0.1786853023878765,LER,dmsc
0.01,0.31746982093301446,0.3008287126941777,0.1851273971607187,0.318687732727404,0.2975614783564193,0.18345020064812523,Additive,dmsc
0.01,0.5867764882656658,0.23391202044736573,0.1530436237622469,0.48633793762177585,0.256303932533256,0.17060055784080705,Pairwise,dmsc
0.025,0.9999999999999996,0.0,0.0,0.4694204467261137,0.26171325791070627,0.17223073849399662,MEI,dmsc
0.025,0.9706476961109096,0.07826885622112877,0.045120077874086985,0.6485356632140946,0.21335726050992024,0.13910729565567406,VC,dmsc
0.025,0.5369909539710798,0.2532396792535133,0.15272443580306205,0.5019868173248379,0.2564290224876219,0.15695354093759162,CN,dmsc
0.025,0.5325569900617936,0.2500747357197013,0.15075975980955605,0.5012634368829119,0.25384260771010675,0.15422163630147023,LER,dmsc
0.025,0.33381113112667826,0.29892907683602066,0.18279109849419736,0.322330816381126,0.2967636876673168,0.18334246494447573,Additive,dmsc
0.025,0.5661784954870912,0.2408304609940119,0.1539880566997722,0.5216334411578587,0.2477344678882881,0.16079952921435067,Pairwise,dmsc
0.025,1.0,0.0,0.0,0.4681196003343403,0.2621431233744083,0.17278764172359196,MEI,dmsc
