p,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,model,dataset
0.01,1.0,0.0,0.0,0.7158412555900336,0.11858919435122366,0.0922100151458586,MEI,fyn-sh3
0.01,0.9968166376552111,0.012411355928986765,0.007389283248729752,0.686769718860473,0.12454102598574211,0.09674766699261271,VC,fyn-sh3
0.01,0.5569643511601562,0.1468217266215369,0.11469357267240576,0.5618505065707617,0.15240527343726812,0.11813418393658334,CN,fyn-sh3
0.01,0.4939282553857911,0.16064359012986862,0.1302123732263356,0.5276301840747762,0.16043698027677894,0.12926459532209358,LER,fyn-sh3
0.01,0.7122121556517352,0.12417680104505717,0.09887269064103275,0.6937307500932463,0.13287473791342444,0.10603191682137303,Additive,fyn-sh3
0.01,0.9705273478674129,0.03688379710432519,0.02441571029281218,0.6615651798713614,0.15219155469613097,0.1194538209076612,Pairwise,fyn-sh3
0.01,1.0,0.0,0.0,0.727185634632943,0.11623165040327187,0.09126546469802761,MEI,fyn-sh3
0.01,0.9667719185375895,0.04147372049874454,0.026640646828037195,0.7601942310965087,0.11715540799579252,0.09158874621850095,VC,fyn-sh3
0.01,0.7831521619169685,0.10732771789700166,0.08017509901927074,0.6534843114433511,0.13714010469103535,0.10504322396027316,CN,fyn-sh3
0.01,0.6424361516557422,0.14411465690899705,0.11558172158334175,0.6009542766359816,0.15232101437971263,0.12270273375924513,LER,fyn-sh3
0.01,0.7293247588453607,0.12919036948716434,0.10256549707436735,0.6931164429939757,0.13726179263771313,0.1100961574908647,Additive,fyn-sh3
0.01,0.9710162470631815,0.03880816591450368,0.024010396403246887,0.6087181764567922,0.16816454076955326,0.13075325643436508,Pairwise,fyn-sh3
0.01,0.9999999999999998,0.0,0.0,0.7260119097751574,0.1169620463377033,0.08990381094246197,MEI,fyn-sh3
0.01,0.9895068011651029,0.022367510986956583,0.012631098260570524,0.696005678504762,0.12289673951775386,0.09495406292030624,VC,fyn-sh3
0.01,0.45579556841659025,0.16436600688249273,0.12699723482402164,0.33285757565682056,0.18965529777771048,0.15002359110539254,CN,fyn-sh3
0.01,0.41496845170116176,0.17182842026373524,0.13616402313221632,0.3277123098149173,0.19213346250043425,0.1537739420744171,LER,fyn-sh3
0.01,0.7109645078065853,0.12396584107515554,0.1006226034299679,0.6960696505880243,0.12803344961796764,0.10277468613139246,Additive,fyn-sh3
0.01,0.9613152479935876,0.042703686808590754,0.025865742259543384,0.6043124345097893,0.16273796975055613,0.12818545531557665,Pairwise,fyn-sh3
0.025,0.9999999999999998,0.0,0.0,0.7612092934325906,0.10899993993536757,0.08410928813766867,MEI,fyn-sh3
0.025,0.9958765761705437,0.014449862387955753,0.00795139900681227,0.8675977373937193,0.08117637797174113,0.06243226005064516,VC,fyn-sh3
0.025,0.7290875095170467,0.1185389638345235,0.08807069862090638,0.6741455275376166,0.12899966765026247,0.09548206816544808,CN,fyn-sh3
0.025,0.628247889953239,0.14221144746523784,0.1144267445708735,0.6246857532728739,0.14157049420284304,0.11272861924467356,LER,fyn-sh3
0.025,0.7054707116288875,0.13251562605693376,0.10315660972394222,0.7050587462475908,0.1322337088714552,0.10496909705813898,Additive,fyn-sh3
0.025,0.9175360057119604,0.06463907608619425,0.048480715100988905,0.8460976417353222,0.0898611044867078,0.07012221139082239,Pairwise,fyn-sh3
0.025,1.0,0.0,0.0,0.7563664496530557,0.10980475425532246,0.0855741170765581,MEI,fyn-sh3
0.025,0.9934514238865914,0.017897878663172447,0.01088488487651677,0.8731338813796021,0.07926174968126486,0.06139965630677033,VC,fyn-sh3
0.025,0.9011990450921364,0.0699655455683365,0.05462348436524395,0.8485156614914575,0.08847488834898846,0.0690373114241645,CN,fyn-sh3
0.025,0.7520247704915894,0.1195369351270687,0.09512100359392985,0.7138660297001025,0.13170938226845572,0.10482990137459647,LER,fyn-sh3
0.025,0.7232384045551816,0.12707019469750694,0.10151450505497372,0.6992530114893174,0.13560400156735816,0.10803004121614507,Additive,fyn-sh3
0.025,0.9191119419691345,0.06352789724576528,0.04757061552284763,0.8430794677196243,0.09073559294880015,0.07088187014503779,Pairwise,fyn-sh3
0.025,0.9999999999999996,0.0,0.0,0.751077449426134,0.11109196995163487,0.08683138109873605,MEI,fyn-sh3
0.025,0.9949886193329435,0.01563356493912554,0.008856591696287124,0.8619390241522455,0.08279574225653977,0.06438760874026261,VC,fyn-sh3
0.025,0.7272514331357111,0.11671736327757354,0.08783557707661062,0.6610864427177223,0.1343920620775687,0.10111845527980076,CN,fyn-sh3
0.025,0.6126269899188136,0.14382890414454405,0.1143733887717872,0.5981879228466014,0.15019058013547884,0.12066434140272382,LER,fyn-sh3
0.025,0.7122620321291306,0.1251013743318579,0.09929971970064984,0.6995785087997207,0.13115581307093346,0.10526057570000356,Additive,fyn-sh3
0.025,0.9097512752605742,0.06610448728609028,0.0501415214243726,0.8438632533820493,0.09007871270891522,0.07008470285124584,Pairwise,fyn-sh3
0.05,0.9999999999999996,0.0,0.0,0.7957410747622726,0.10187978086103966,0.07845301720609264,MEI,fyn-sh3
0.05,0.9925998228712247,0.018533763307786378,0.010443880369413386,0.8886634021179465,0.07443936846353552,0.05746040966346986,VC,fyn-sh3
0.05,0.8855367591483574,0.07256964776250502,0.055688678466647025,0.8714184811468512,0.08037850868073682,0.0622985889587384,CN,fyn-sh3
0.05,0.7847921513492337,0.10287100826274423,0.08161045227109351,0.7950772758994944,0.10410790379378583,0.0827104447689983,LER,fyn-sh3
0.05,0.6951127115158319,0.12721059903163695,0.10171222924112462,0.7033622642740529,0.12850768501614404,0.10308055126209632,Additive,fyn-sh3
0.05,0.8905183525519462,0.07121611205487714,0.05423008155148541,0.8706288787203714,0.08126473745649254,0.06347874161815946,Pairwise,fyn-sh3
0.05,0.9999999999999998,0.0,0.0,0.7948967998854611,0.10107208063294666,0.07833475148995042,MEI,fyn-sh3
0.05,0.9902231139786589,0.02211747186480046,0.012637134225296021,0.8964480415527589,0.07159666076920213,0.05509741312673077,VC,fyn-sh3
0.05,0.8938240380166693,0.07267468384224429,0.055572327578041474,0.8784478787205042,0.07841613503691768,0.06071287237761395,CN,fyn-sh3
0.05,0.7892562004730745,0.10559402215584106,0.08328572982864424,0.785160304919444,0.10762963921271274,0.08585663844814993,LER,fyn-sh3
0.05,0.7115636484577911,0.1277224366336235,0.10139098563589093,0.7053617160365031,0.13015919621856017,0.10399443251506812,Additive,fyn-sh3
0.05,0.8986884232520225,0.07101346421463477,0.05459673115100322,0.8741507138495531,0.0803221999974482,0.062493476561003354,Pairwise,fyn-sh3
0.05,1.0,0.0,0.0,0.7965108332270091,0.1012216601385365,0.07784226033660276,MEI,fyn-sh3
0.05,0.9940228281353398,0.01700031140421059,0.009902488787413021,0.9002627647707906,0.07047366280126988,0.05381410557342345,VC,fyn-sh3
0.05,0.8546662469418751,0.0836392294741802,0.06360149616554855,0.8263914390221482,0.09342859468375721,0.07144080642335875,CN,fyn-sh3
0.05,0.8635957541960654,0.08108292097778735,0.06194799399356443,0.78629353019799,0.10513624926665657,0.08153572125133852,LER,fyn-sh3
0.05,0.7038798189130369,0.12610509227903277,0.10102644349282182,0.7029867876602068,0.12853032338821355,0.10292097697224413,Additive,fyn-sh3
0.05,0.9035094389593199,0.06800549153666335,0.05259398716764134,0.8707384226758172,0.08143411001899102,0.06290484844272679,Pairwise,fyn-sh3
0.1,1.0,0.0,0.0,0.8448348373568496,0.08826010386879439,0.06836915100598889,MEI,fyn-sh3
0.1,0.9816174786494108,0.030472215139761023,0.019397221010521846,0.9112215836434907,0.06636169778746721,0.05092094144599972,VC,fyn-sh3
0.1,0.9048762270223949,0.06945100946222155,0.054197271631158984,0.8929313770324813,0.07353826668024056,0.05714525128417894,CN,fyn-sh3
0.1,0.9138944493428253,0.066087342884234,0.0488029678452367,0.8192202954176068,0.0968695857028122,0.07549159234586289,LER,fyn-sh3
0.1,0.710837373118662,0.13009087761685337,0.10511062377183436,0.7047541005764905,0.1310454467891908,0.104948467054513,Additive,fyn-sh3
0.1,0.8988494059040589,0.07188604061614436,0.05565138000204171,0.8869131479970105,0.07598881946014754,0.05905642365311915,Pairwise,fyn-sh3
0.1,1.0,0.0,0.0,0.8453015602193608,0.08813005968460517,0.06819419334725647,MEI,fyn-sh3
0.1,0.9801009721389363,0.031770092762067256,0.020808238977953076,0.9224540379608281,0.06199220828257773,0.04738063165155052,VC,fyn-sh3
0.1,0.9030630806503064,0.07034068163421046,0.05465151323783587,0.8931642097193582,0.07333129296261223,0.057078725140009945,CN,fyn-sh3
0.1,0.9051973311672857,0.06958058341498762,0.053224643882524805,0.841255702604068,0.09043736042527827,0.07055498335658748,LER,fyn-sh3
0.1,0.7118282399906719,0.1306375807332014,0.10472727111520545,0.7078582126159191,0.13094552779808363,0.10448569545616578,Additive,fyn-sh3
0.1,0.8968351179296321,0.07281749335179481,0.056399572627403256,0.8846207696901612,0.07659245467675084,0.059582828586714535,Pairwise,fyn-sh3
0.1,0.9999999999999996,0.0,0.0,0.8442004976227341,0.08833638631262848,0.0681409761052939,MEI,fyn-sh3
0.1,0.979163767282164,0.03275453485380281,0.021903178112008394,0.9205093826020602,0.06273655344724871,0.04789191193148281,VC,fyn-sh3
0.1,0.9063931369852659,0.06961965110882404,0.053794390854076606,0.8934350198250617,0.07328139780581475,0.056784281901690825,CN,fyn-sh3
0.1,0.8848551053167419,0.07754051304239104,0.05893349576729676,0.8408807133239568,0.09071950966314657,0.07017936647263338,LER,fyn-sh3
0.1,0.714663115692468,0.13066251175826193,0.10561660683718868,0.7078086221716128,0.13086127525850427,0.10487514895144542,Additive,fyn-sh3
0.1,0.8994052958836343,0.07244963636014265,0.05597987673749455,0.8838664093570393,0.07695835874886912,0.059609535626656725,Pairwise,fyn-sh3
0.15,0.9999999999999993,0.0,0.0,0.870316018069146,0.08087394461819765,0.0621756926553296,MEI,fyn-sh3
0.15,0.9524628184213431,0.04878957892075787,0.03592372083135573,0.9235547741968299,0.06155408004693838,0.047060970873369114,VC,fyn-sh3
0.15,0.9041905167406619,0.06968749458344327,0.0541119925806988,0.8968761516716627,0.07189578879758364,0.055721924242696876,CN,fyn-sh3
0.15,0.897174690592964,0.07248868991197013,0.05443669075034901,0.8635950745902158,0.08314192627755183,0.06319860980584392,LER,fyn-sh3
0.15,0.7148480869019286,0.1283384938307436,0.10278871920685782,0.7085037175160496,0.13009040037202807,0.10393074263986232,Additive,fyn-sh3
0.15,0.8968209208009661,0.07266728235462064,0.05651167777890923,0.8890016200193871,0.07504284229935865,0.05812588908310762,Pairwise,fyn-sh3
0.15,0.9999999999999996,0.0,0.0,0.8717707972399013,0.0805308410877284,0.06185684753764247,MEI,fyn-sh3
0.15,0.9814963847476078,0.030474659149555782,0.019920512995155557,0.9086423681062156,0.06723572004158031,0.051952586532654485,VC,fyn-sh3
0.15,0.9065664058606435,0.06864112019700246,0.05316461777809314,0.8966297270693248,0.07191990637259359,0.05589516519362315,CN,fyn-sh3
0.15,0.9016863684551735,0.07064377172219648,0.05353858727039541,0.8595540639150712,0.08464823968847614,0.06442990143533699,LER,fyn-sh3
0.15,0.7117053183917155,0.1294179374756163,0.1035304617519908,0.7074151734743369,0.13001063040448896,0.1038610495969712,Additive,fyn-sh3
0.15,0.8977147534463642,0.07215031004521764,0.05572051454541778,0.8874822862298095,0.07546287689547383,0.058656087565960906,Pairwise,fyn-sh3
0.15,1.0,0.0,0.0,0.8725784786410347,0.08032113124838153,0.06190494845861418,MEI,fyn-sh3
