p,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,model,dataset
0.01,0.9616246342266694,6.380598901008135,1.68601976868691,0.18650513065047244,19.40870708193157,8.42571340033466,VC,smn1
0.01,0.919523334035108,8.050862782973438,2.379053718633026,0.21225803928839415,19.01371034433103,7.984273586646991,CN,smn1
0.01,0.27607958515516545,18.185329727246543,5.0423030994102085,0.09423136100526167,22.297318086506916,7.4080727599686815,LER,smn1
0.01,0.167229453915593,17.86628997736693,4.927083993646307,0.0968431638001272,21.98533462777911,7.261440324867228,Additive,smn1
0.01,0.7151385434062117,16.91107423313997,4.826028390867652,0.18540682019208793,21.630276576957957,7.444264829723147,Pairwise,smn1
0.01,0.9811136337003934,5.186373729959591,2.179001195012239,0.2098249661202104,20.384441246649146,12.827512607141541,VC,smn1
0.01,0.8827490907106047,8.96807215581853,3.029692931495615,0.2376369124638929,18.770724028120224,8.984919601055424,CN,smn1
0.01,0.32905770585189525,25.423177319467275,8.736513978866867,0.10422960926980072,22.225549907892187,7.370674096056222,LER,smn1
0.01,0.2682859525373661,24.65746932959333,8.596440638418773,0.1102287561522493,21.685085766980514,7.336659442355697,Additive,smn1
0.01,0.7685984965813686,23.08602702021116,8.22327211180384,0.269674846824031,21.11770860191671,7.454339124937882,Pairwise,smn1
0.01,0.8704910589514946,8.839356027437733,1.8677186334301243,0.13426684578694162,19.84431280021967,8.82982752430404,VC,smn1
0.01,0.8586785721406691,10.594520699405772,3.5468448617265858,0.3126817618375934,17.629895404713174,8.383646803299957,CN,smn1
0.01,0.1724201707436624,18.48116146212833,7.561259041122354,0.06198253552958206,20.510067207052273,8.846308205476818,LER,smn1
0.01,0.1787831918257833,20.40441767516148,6.555287378986785,0.10729867108258119,21.878691147618778,7.257336176583494,Additive,smn1
0.01,0.7141919974789006,19.415304797598026,6.43174630900504,0.21183550005116258,21.469882034311716,7.375331217546265,Pairwise,smn1
0.025,0.9502394302727517,6.896123563717134,2.223406352111933,0.40785849956985465,16.177779856367053,8.923235943726846,VC,smn1
0.025,0.873123475175055,10.061029594584367,4.061539478926979,0.49674947192537605,15.068337616025254,7.730672096799706,CN,smn1
0.025,0.17385515345704192,21.528693854743413,9.684988298215757,0.14367053817122125,19.96316539620375,8.554500201124942,LER,smn1
0.025,0.179215317258195,23.325080889596656,8.538642532432664,0.13274176860137918,21.437000488424875,7.340566693576657,Additive,smn1
0.025,0.6223978053976096,21.750878351421157,8.168487068851206,0.3692419437918167,20.504820649597143,7.318426172644566,Pairwise,smn1
0.025,0.8972092077091829,7.499374463214967,2.2904978519424586,0.3690914661395906,17.566597261946683,7.716718126743283,VC,smn1
0.025,0.6994404347228657,11.689817957567184,4.579446440224372,0.3792270304220333,17.87525264079754,7.401343879191516,CN,smn1
0.025,0.1561903961547987,16.314047597597277,7.082228242861369,0.15682868553535134,20.34076751681726,8.137852079964574,LER,smn1
0.025,0.14619772171668655,17.682999206038875,5.972802994717665,0.12314795413924827,21.82179295483884,7.232989951475469,Additive,smn1
0.025,0.5388216193350772,16.6900259170432,5.818131447427724,0.3094173952977915,21.193106431289397,7.253932378071987,Pairwise,smn1
0.025,0.9555992065859884,5.787323590207096,2.2108501100750337,0.4277213502712107,16.423374292843917,8.120674983178104,VC,smn1
0.025,0.773163808668268,10.699507143991228,4.798124458225571,0.4925176242729699,15.950458122559228,7.309167950623557,CN,smn1
0.025,0.10241203023191874,18.272763090828416,8.174069939262155,0.0827113567403219,20.56571276687891,8.571668063673066,LER,smn1
0.025,0.1392400918944615,19.514098436503524,6.931832980651733,0.1444694678928667,21.700953726097673,7.263874208668102,Additive,smn1
0.025,0.5633365912743004,18.317138535254838,6.655201256169048,0.3624418868385171,20.95023274054622,7.2178361108781415,Pairwise,smn1
0.05,0.8777394891989007,9.516804051419955,2.9465358582750096,0.5247460954010603,14.621599639223582,7.94166931249791,VC,smn1
0.05,0.7795552700021076,12.248739701408011,4.563612427250001,0.5518074538321622,14.449632561062424,6.828722861844355,CN,smn1
0.05,0.3501091473062798,19.37630511814111,8.063164322354663,0.2860091354895322,18.50177709565057,7.711398476222453,LER,smn1
0.05,0.16777105102515447,22.795717380409,8.0774126187009,0.1360911329811238,21.163244415990295,7.5106243193991835,Additive,smn1
0.05,0.5325100121338524,21.04587957320668,7.6770568658570255,0.4169961422463474,19.855939805654703,7.31794356966964,Pairwise,smn1
0.05,0.9141299346426306,8.337500680356477,3.4692162642202007,0.5108302983370674,14.71016189775642,8.3340500270529,VC,smn1
0.05,0.889588927444351,8.877271246166556,3.771982120929604,0.5888813182275391,13.56911825174383,6.9052768189183755,CN,smn1
0.05,0.2951269234847601,19.975540293179463,9.166421922450297,0.21577469797528961,19.103350441489603,8.67810649762585,LER,smn1
0.05,0.1918941198440999,22.56439209655277,8.31969884060403,0.1452003410334092,21.125690222681914,7.474359818909368,Additive,smn1
0.05,0.5978968529444593,20.567077985547343,7.793477064218184,0.43005083379173775,19.708595625235773,7.252256828447605,Pairwise,smn1
0.05,0.916163587149745,7.3967108566476165,2.588527973661003,0.49641028301498646,15.186158529697515,7.91127153419186,VC,smn1
0.05,0.8262803832676247,9.95285679574911,4.115246981404713,0.5322341328804533,14.926662452663264,6.909300532395923,CN,smn1
0.05,0.26938618369777423,18.285134571282217,8.266052656221834,0.22828442499298243,19.18781526986102,8.672248331285887,LER,smn1
0.05,0.16681967944942744,20.60566530851748,7.103517144560927,0.14467327287223372,21.38199941514315,7.3955051738323,Additive,smn1
0.05,0.5447906579807091,19.01672478397652,6.81810094671103,0.4138485155859698,20.17080518374387,7.266177986114548,Pairwise,smn1
0.1,0.9243320584772454,7.460058953781101,2.603198701550107,0.6032226900815905,13.395545562158102,7.10230571939879,VC,smn1
0.1,0.7682878806836997,11.694764411002685,4.905749133660602,0.6348527838312484,13.227895326197492,6.214901748356793,CN,smn1
0.1,0.6053293118825255,14.139154928946557,6.173812145140271,0.5584671153875758,14.39327058862832,6.419483354688792,LER,smn1
0.1,0.15391717512291686,21.336534107392673,7.863304928479664,0.14510713396727495,20.916126260247268,7.66837416471028,Additive,smn1
0.1,0.5027068461797216,19.324070097327603,7.353949209879821,0.4466861526707322,19.106358366110566,7.298243930790729,Pairwise,smn1
0.1,0.9254515078010375,7.537236527573907,2.6146874349758047,0.5976505247880792,13.658798818197186,6.979709433933106,VC,smn1
0.1,0.7875161858312731,11.534698351445936,4.705828200050109,0.6069424255857081,13.889221956169616,6.438513999500404,CN,smn1
0.1,0.5470160580402946,15.071235102775942,6.408861722442406,0.5017015827966068,15.45640980396194,6.795739767738344,LER,smn1
0.1,0.15176535504410602,21.195330897952857,7.6830621166801745,0.1439805258543856,20.959205124945406,7.59825354415661,Additive,smn1
0.1,0.4867469612518709,19.212355489634348,7.251587311845221,0.43805472045592325,19.206379721473247,7.314844872096832,Pairwise,smn1
0.1,0.9170600676642422,7.827888005433119,2.784027961168475,0.5985175352408627,13.338827813461206,7.021900620111434,VC,smn1
0.1,0.8323585388415382,10.341373812885909,4.263083654437568,0.6284101128672415,12.950492685375178,6.259241821057882,CN,smn1
0.1,0.5380997733336853,16.06964232145897,7.504387423777073,0.45972284169955496,15.892417934345051,7.441908826512741,LER,smn1
0.1,0.18463589590496302,21.877801030741924,8.189921458902045,0.14411661928221342,20.74564648613244,7.6922599242765965,Additive,smn1
0.1,0.5468826157173997,19.590390253503962,7.669249265954209,0.4356012786367203,18.869741080548067,7.322038591390392,Pairwise,smn1
0.15,0.9113590766325361,7.141223780368258,2.359347137352283,0.6390999956025837,13.539600213727175,6.409817075823798,VC,smn1
0.15,0.7273403520191923,11.405075219321327,4.790513926551686,0.6439255676414078,14.027578972665792,6.1363324151626575,CN,smn1
0.15,0.5783044472141229,13.006047191183013,5.55448015996286,0.5614694699663559,14.772895009273869,6.341650533771064,LER,smn1
0.15,0.13966694117694353,19.051671432889975,6.975154304056588,0.15194303682768887,21.195995819735035,7.763311308956891,Additive,smn1
0.15,0.4671928070903221,17.11196963706029,6.60423006583279,0.45886634048361125,19.21682574718605,7.386670043688349,Pairwise,smn1
0.15,0.9117851949242929,7.814535038039392,2.850697203352999,0.6489240711662152,12.77260821376565,6.410302572812986,VC,smn1
0.15,0.7782517189327429,11.34296714055369,4.783950916683388,0.6447612269664121,13.173405234114949,5.972062458776014,CN,smn1
0.15,0.5772488167672744,14.428151919606643,6.525598397558174,0.5117806406727302,15.054349588375874,6.73061584177654,LER,smn1
0.15,0.14917262848613624,21.007143154948547,7.957567047424987,0.1478953088265475,20.684337883039458,7.831223728806679,Additive,smn1
0.15,0.495348511552286,18.605488279385447,7.373572256386296,0.458322113500625,18.525333158018984,7.33352572382641,Pairwise,smn1
0.15,0.9183695261179414,7.527371872744893,2.542668672385404,0.6529657925250294,12.649293428978778,6.429390938505759,VC,smn1
0.15,0.7873032241323604,11.184581726983112,4.576851962991369,0.6707923101000587,12.651214565027702,5.821058311491606,CN,smn1
0.15,0.5692833680956512,14.69254321101476,6.441425385049532,0.5384307141778901,14.774788941751474,6.716414832836214,LER,smn1
0.15,0.15268017601983627,21.026873710497505,7.870562274964198,0.14543786294723118,20.677381611445547,7.843102808363124,Additive,smn1
0.15,0.4923699385654093,18.670732115204032,7.324852073638208,0.45020334626240105,18.507600404203288,7.425956544396926,Pairwise,smn1
0.2,0.9099752061163217,7.694880256468179,2.4602968301849617,0.662559208060662,12.521901776570765,6.153286498886628,VC,smn1
0.2,0.758128486016004,11.487384418933578,4.635277179273768,0.6602058174789739,12.762241473416072,5.677806184016587,CN,smn1
0.2,0.7333725996969788,11.352506536018764,4.602268234958517,0.648776962341485,12.583689267046216,5.41461383874811,LER,smn1
0.2,0.15308693097770318,20.601160167551253,8.001519615955933,0.1465169715421395,20.536739981342542,8.021247227268221,Additive,smn1
0.2,0.47646951727008136,18.108952080681462,7.372724476621471,0.4575775944195038,18.133145950400348,7.413592750514928,Pairwise,smn1
0.2,0.9190164482095591,7.535740502496405,2.7532809225061334,0.6770918454787632,12.01433628625385,6.097713994704596,VC,smn1
0.2,0.794821218343172,11.019305014187642,4.6942827115783805,0.6715055807941377,12.322552757114181,5.5936693178833075,CN,smn1
0.2,0.667496661484794,13.147384093317113,5.8420187882009715,0.5873243512474431,13.55195543899306,6.0909677231624,LER,smn1
0.2,0.15278106895248192,21.296484644107494,8.361980994384904,0.14848569429328368,20.29538670833661,7.962051343096253,Additive,smn1
0.2,0.5046271930511702,18.461801555050705,7.674660429086357,0.45867168411260756,17.77734771028574,7.454318462148362,Pairwise,smn1
0.2,0.9236823953791352,6.8961558696176235,2.405851265470368,0.6690829181031681,12.685594087066999,6.110906893315076,VC,smn1
0.2,0.7404040155943096,11.527463079865546,4.925482168209517,0.6628909701039296,13.318610262490708,5.916552874187477,CN,smn1
0.2,0.6764232627139247,11.939412780628155,5.041862329264372,0.6166966672942255,13.58102887894916,5.771145061315542,LER,smn1
0.2,0.1432638600003808,19.645544252872938,7.601131612565694,0.15090044297664856,20.885104948748943,7.939796203635105,Additive,smn1
0.2,0.4678936852530035,17.33570118279587,7.070801232087319,0.460012407964909,18.56344531173245,7.465102084040165,Pairwise,smn1
0.3,0.8936765301324509,8.03976962201887,2.8866810485402215,0.7081497307903962,11.651130055144664,5.5715582963573,VC,smn1
0.3,0.7855953532345384,10.90132515296332,4.449925404994463,0.7030402561244519,11.991773760880193,5.3088440401089345,CN,smn1
0.3,0.7225232802438365,11.694082216848765,4.8579011815086774,0.6755034603268683,12.17708032156863,5.223986494940088,LER,smn1
0.3,0.15785921540363138,20.43687410408134,8.425472711731699,0.14564250458434663,20.14684849465055,8.350810079082338,Additive,smn1
0.3,0.4957888204044298,17.28501334422584,7.633632693722441,0.45731637568322236,17.250306853091644,7.692887624687136,Pairwise,smn1
0.3,0.9179284024775709,7.248549362309674,2.7066169285875636,0.7018921313623274,11.750996196165989,5.793746221469263,VC,smn1
0.3,0.788493141901445,10.771577908844728,4.5705414279218886,0.6904059024526411,12.246338017183474,5.377725195719823,CN,smn1
0.3,0.7339250569904261,11.31478999504802,4.945014725098592,0.6548153262635159,12.63688580674263,5.52927963570189,LER,smn1
0.3,0.154764209746891,20.15329402499604,8.240131982999074,0.14875809057928677,20.310683846844896,8.321317080312372,Additive,smn1
0.3,0.4907316794776883,17.122329519645945,7.528767198802152,0.4648359629100328,17.4029339959829,7.645584389254326,Pairwise,smn1
0.3,0.9169906934267461,7.051523318589379,2.611294298522204,0.7060835017149081,11.813921943433089,5.713371799093963,VC,smn1
0.3,0.7530287631659341,11.37998502381974,4.937023068185966,0.6774944309300455,12.8537972562364,5.665448974855218,CN,smn1
0.3,0.7352722608174228,10.979852535766106,4.760362576501662,0.6631272995095083,12.528452793931535,5.2958055605669685,LER,smn1
0.3,0.1400223231992598,19.8084224380761,8.097363031162587,0.15343218755847216,20.549141843511027,8.291667408489173,Additive,smn1
0.3,0.4732673040510625,16.96213968103969,7.375500979420621,0.4724329627146442,17.68638668755972,7.60575272953584,Pairwise,smn1
0.5,0.9003766193095738,7.492753477308851,2.923797563522764,0.7470972750785548,10.999041782678237,5.304664685919177,VC,smn1
0.5,0.7728806441864423,10.760823420803739,4.509171829722629,0.7177938718644484,11.905605483118665,5.086054829992681,CN,smn1
0.5,0.8084200401953247,9.498892951905278,3.915756433878795,0.7441986697237116,10.95919502411683,4.57340019409825,LER,smn1
0.5,0.15393782909956374,19.602984204041356,8.769477019967326,0.14596475808629308,20.20075765974193,8.978645188772395,Additive,smn1
0.5,0.47809201794862694,16.106120858781253,7.891698289938908,0.4671414016040576,16.69907899210676,8.054366813624908,Pairwise,smn1
0.5,0.8913800240435649,7.8347741422809065,3.0083543745941537,0.7570623451300843,10.971720884562924,5.249278063247771,VC,smn1
0.5,0.7698742653070364,10.864330150165287,4.482606074397486,0.7312766800836763,11.895558873365438,5.081411760917022,CN,smn1
